Date,Active_Cases,Total_Tests,Estimated_Recovered_Cases,Temple_Positivity_Rate,Philadelphia_Positivity_Rate,Cases_Students_University_Housing,Cases_Students_NonUniversity_Housing,Cases_Employees,Cases_Students,sevendayaverage
4/19/2021,68,1175,0,0.87%,6.32%,7,61,0,68,89.4
4/20/2021,69,1185,0,0.71%,6.15%,6,63,0,69,87
4/21/2021,74,737,0,0.64%,6.20%,7,66,1,73,83.4
4/22/2021,81,977,0,0.49%,6.15%,9,70,2,79,77.8
4/23/2021,78,1127,0,0.58%,6.15%,12,64,2,76,74
4/26/2021,37,769,0,0.56%,5.97%,8,27,2,35,67.8
4/27/2021,38,597,0,0.67%,5.73%,8,27,3,35,61.6
4/28/2021,41,389,0,0.67%,5.50%,9,29,3,38,55
4/29/2021,46,476,0,0.71%,5.41%,10,33,3,43,48
4/30/2021,45,652,0,0.73%,5.18%,10,32,3,42,41.4
5/3/2021,30,438,0,0.74%,4.58%,7,22,1,29,4
5/4/2021,25,317,0,0.75%,4.46%,4,20,1,24,37.4
5/5/2021,26,254,0,0.70%,4.10%,4,21,1,25,34.4
5/6/2021,28,234,0,0.63%,3.74%,4,22,2,26,30.8
5/7/2021,25,234,0,0.47%,3.57%,3,20,2,23,26.8
5/10/2021,12,164,0,0.50%,3.05%,1,10,1,11,23.2
5/11/2021,7,127,0,0.30%,2.72%,0,6,1,6,19.6
5/12/2021,8,78,0,0.36%,2.59%,0,7,1,7,16
5/13/2021,8,159,0,0.13%,2.56%,0,7,1,7,12
5/14/2021,7,6,0,0.19%,2.50%,0,6,1,6,8.4
